id;text;clean_text;toxic_label;toxicity_pre_clean;toxicity_post_clean;polarity;politeness;nltk_score
;Arsenal restrictions for non-members allow/forbid taking non-unlocked weapons. In case people want to have membership without these weapon restrictions. ;Arsenal restrictions for non-members allow/forbid taking non-unlocked weapons. In case people want to have membership without these weapon restrictions.;n;0.1224244;0.122424416;0;0.46122618325332443;-0.1808
;Non members picking non unlocked weapons can mess the game, as in other topics, so if ppl wants to allow that kind of thing they may just disable the membership requirement. Closing as it's already implemented. ;Non members picking non unlocked weapons can mess the game, as in other topics, so if ppl wants to allow that kind of thing they may just disable the membership requirement. Closing as it's already implemented.;n;0.17841849;0.17841855;0.020000000000000007;0.37747564142285017;-0.5423
;Can anyone explain to me why this Tek Rex is importing wrong, all the values are correct, but the wild level should be 360 and not 432.  ;Can anyone explain to me why this Tek Rex is importing wrong, all the values are correct, but the wild level should be 360 and not 432.;n;0.20222701;0.20222704;-0.2;0.4759108813046447;-0.0516
;should also post a screen shot of the ingame inventory also so anyone trying to help has more information to help you ;should also post a screen shot of the ingame inventory also so anyone trying to help has more information to help you;n;0.06776231;0.06776226;0.5;0.48472184794357415;0.6597
;Why, I stated that the values are correct. ;Why, I stated that the values are correct.;n;0.021872444;0.021872137;0;0.48831985925505594;0.4019
;seriously? cuz you are asking for help and im telling you something might help and you question it. dont expect anything further from me as you cant seem to bothered you even help yourself without being an ass ;seriously? cuz you are asking for help and im telling you something might help and you question it. dont expect anything further from me as you cant seem to bothered you even help yourself without being an ass;y;0.89967585;0.89967585;-0.16666666666666666;0.3345112616117424;0.881
;Assuming all provided information is correct (I'll take your word for it), you admin spawned this Tek Rex or it was generated some other way other than it being tamed. It's current level, 648, is it's post tamed level, you have a TE of 100%, and the only possible way to have 0 domestic levels with 100% TE is the creature was found in the wild at level 432 based on the (proven) level calculation of 432  (1 + (0.5  1)) =  648. The equation is PreTameLevel  (1 + (0.5  TE)) = PostTameLevel. If the creature has 0 domestic levels, it's current level MUST equal its post tame level. If any of this is incorrect, that will completely change the TE and the extracted pretame level. If you'd like further assistance, please provide the requested information. ;Assuming all provided information is correct (I'll take your word for it), you admin spawned this Tek Rex or it was generated some other way other than it being tamed. It's current level, 648, is it's post tamed level, you have a TE of 100%, and the only possible way to have 0 domestic levels with 100% TE is the creature was found in the wild at level 432 based on the (proven) level calculation of 432  (1 + (0.5  1)) =  648. The equation is PreTameLevel  (1 + (0.5  TE)) = PostTameLevel. If the creature has 0 domestic levels, it's current level MUST equal its post tame level. If any of this is incorrect, that will completely change the TE and the extracted pretame level. If you'd like further assistance, please provide the requested information.;n;0.042810656;0.042810656;-0.020512820512820516;0.6901374743239498;0.5859
;Assuming you made 100% false assumptions, this is something that has only just happened. I don't have any issue with any other Dino being tamed and it is only the Tex Rex at this stage that I have noticed it with. The current level is its post tamed level and I do indeed have a 100% tame on it. Like I said all the GREEN parts are 100% correct, I DO NOT HAVE ANY ISSUE WITH THE SPINO'S that I have added, I DO NOT HAVE ANY ISSUE WITH THE NORMAL REX'S that I have added. And this was not an issue a few months ago, so why is it an issue now!!! And I DON'T SEE WHY I NEED TO POST A SCREEN SHOT OF THE STATS WHEN THEY ARE 100% CORRECT. Seriously the support from everyone but the author  is becoming a joke in here now. ;Assuming you made 100% false assumptions, this is something that has only just happened. I don't have any issue with any other Dino being tamed and it is only the Tex Rex at this stage that I have noticed it with. The current level is its post tamed level and I do indeed have a 100% tame on it. Like I said all the GREEN parts are 100% correct, I DO NOT HAVE ANY ISSUE WITH THE SPINO'S that I have added, I DO NOT HAVE ANY ISSUE WITH THE NORMAL REX'S that I have added. And this was not an issue a few months ago, so why is it an issue now!!! And I DON'T SEE WHY I NEED TO POST A SCREEN SHOT OF THE STATS WHEN THEY ARE 100% CORRECT. Seriously the support from everyone but the author  is becoming a joke in here now.;y;0.18502718;0.18502718;-0.09687500000000003;0.5539325906697595;0.7119
;And instead of arguing about what I haven't show, when I have been suing this program for 3 years and never had issues on my server to this extent, that I am dealing with people who refuse to acknowledge that I have stated the GREEN sections in the image are exactly what is on this Tek Rex. But you know what I should post it just to show how much time has been wasted chasing something that is not even the issue. ;And instead of arguing about what I haven't show, when I have been suing this program for 3 years and never had issues on my server to this extent, that I am dealing with people who refuse to acknowledge that I have stated the GREEN sections in the image are exactly what is on this Tek Rex. But you know what I should post it just to show how much time has been wasted chasing something that is not even the issue.;y;0.0874368;0.08743693;0.012499999999999997;0.2345933756565414;-0.8591
;Math doesn't lie. 360  (1 + (0.5  1)) = 540. You creature is clearly higher level than that so you're either wrong or you're missing something. I have checked the numbers you provided and the lowest possible level is 432 with 100% TE. I'm not sure what you expect the author to do for you if you refuse to provide adequate information to help troubleshoot the issue. ;Math doesn't lie. 360  (1 + (0.5  1)) = 540. You creature is clearly higher level than that so you're either wrong or you're missing something. I have checked the numbers you provided and the lowest possible level is 432 with 100% TE. I'm not sure what you expect the author to do for you if you refuse to provide adequate information to help troubleshoot the issue.;n;0.2134083;0.21340832;-0.06111111111111111;0.4405011863385217;-0.4983
;Like I said this has never been an issue before and like I said my Spino works, my normal Rex works ;Like I said this has never been an issue before and like I said my Spino works, my normal Rex works;n;0.128181;0.128181;0.15;0.4398702075777301;0.6124
;If the server's max level is 360, a Tek Rex can spawn 20% higher level causing it to be level 432. The program is correct here, your understanding of Ark is incorrect. ;If the server's max level is 360, a Tek Rex can spawn 20% higher level causing it to be level 432. The program is correct here, your understanding of Ark is incorrect.;n;0.062376536;0.062376536;0.25;0.5441810513360704;0
;the servers wild level is 300 and I am very well aware how that all works. Seriously!!!!!!!!!!!!!!!! ;the servers wild level is 300 and I am very well aware how that all works. Seriously!!!!!!!!!!!!!!!!;y;0.12162818;0.12162818;-0.11249999999999999;0.42131652824491805;0.5516
;And because you are not listening and going on some wild tangent rant about what you think Here is a list of Dinos, tamed and show the correct Wild Level  ;And because you are not listening and going on some wild tangent rant about what you think Here is a list of Dinos, tamed and show the correct Wild Level;y;0.25549233;0.25549233;0.1;0.48782758036632884;-0.34
;and here is a Tek Stego, which also works  ;and here is a Tek Stego, which also works;n;0.08872956;0.088729575;0;0.4195605677850017;0
;That attitude will get you nowhere with developers who are kindly giving you their time for free. ;That attitude will get you nowhere with developers who are kindly giving you their time for free.;n;0.16969223;0.16969223;0.5;0.439007418522547;0.836
;It appears the Tek Raptor has the same issue ;It appears the Tek Raptor has the same issue;n;0.048885446;0.048885446;0;0.4562826921929412;0
;Maybe when I state that the values in the extractor are correct, people should listen!!! ;Maybe when I state that the values in the extractor are correct, people should listen!!!;n;0.12024057;0.12024059;0;0.4786818498576703;0.5538
;Yep both the Tek Raptor and Tek Rex are the only two Dino's I can find that have this issue. ;Yep both the Tek Raptor and Tek Rex are the only two Dino's I can find that have this issue.;n;0.10587147;0.10587147;0;0.5513461562060341;0.296
;Look, I told you earlier, your understanding of Ark is wrong. When using the gmsummon command for the Tek creatures, Ark instantly adds 20% to it's original level. The command  generates a level 648 Tek Rex (Identical to yours). The command , however, will spawn a wild level 360. If you  any Tek creature, you'll get the same result. Please, stop being so dense in the future. ;Look, I told you earlier, your understanding of Ark is wrong. When using the gmsummon command for the Tek creatures, Ark instantly adds 20% to it's original level. The command  generates a level 648 Tek Rex (Identical to yours). The command , however, will spawn a wild level 360. If you  any Tek creature, you'll get the same result. Please, stop being so dense in the future.;n;0.14189704;0.14189681;-0.0035714285714285704;0.6935491319871804;-0.1779
;ASB cannot know the wild level exactly, it uses a formula with the taming-effectiveness to determine it, and in most cases this is correct, sometimes it can be off by 1 level. The Tek-species are special in the way that they have 20 % more levels than their vanilla counterparts. Once they are spawned and you can see their level, e.g. with the spyglass, this is the true wild level, which should also be the level that ASB will display. If Tek-creatures are spawned with admin-commands, the levels can be off, as VolatilePulse explained. So if you spawn a Tek creature with a level of 300, it will actually spawn with a level of 360. So most certainly the Tek Rex you posted first, actually has a wild level of 432. If it was spawned with an admin-command and not by the game, probably the special handling of the additional 20 % led to the confusion. In conclusion, the wild-level which ASB shows is the level you can see on the wild dino when it walks around. As soon as admin-commands like  are used, their true wild level is higher, and also ASB will show this higher level. I'm sorry that you feel offended by the additional questions. I can assure you it's not that we don't believe your statements, it's just that ARK handles some things in a way that is not obvious and we also don't know. Sometimes ARK has bugs which produces wrong values like the HP of Troodons, sometimes ARK just behaves strange, like with the levels of Tek species. To find out what is going on in ARK and how things can be fixed in ASB, we need as much information as possible, so some questions may seem not related to the initial question. In this case it's probably important how the creatures are spawned in, i.e. if they spawned naturally in the game or were spawned in by admin-commands. So I ask you to have some patience with additional questions, usually it helps to resolve issues faster the more informations are available. ;ASB cannot know the wild level exactly, it uses a formula with the taming-effectiveness to determine it, and in most cases this is correct, sometimes it can be off by 1 level. The Tek-species are special in the way that they have 20 % more levels than their vanilla counterparts. Once they are spawned and you can see their level, e.g. with the spyglass, this is the true wild level, which should also be the level that ASB will display. If Tek-creatures are spawned with admin-commands, the levels can be off, as VolatilePulse explained. So if you spawn a Tek creature with a level of 300, it will actually spawn with a level of 360. So most certainly the Tek Rex you posted first, actually has a wild level of 432. If it was spawned with an admin-command and not by the game, probably the special handling of the additional 20 % led to the confusion. In conclusion, the wild-level which ASB shows is the level you can see on the wild dino when it walks around. As soon as admin-commands like  are used, their true wild level is higher, and also ASB will show this higher level. I'm sorry that you feel offended by the additional questions. I can assure you it's not that we don't believe your statements, it's just that ARK handles some things in a way that is not obvious and we also don't know. Sometimes ARK has bugs which produces wrong values like the HP of Troodons, sometimes ARK just behaves strange, like with the levels of Tek species. To find out what is going on in ARK and how things can be fixed in ASB, we need as much information as possible, so some questions may seem not related to the initial question. In this case it's probably important how the creatures are spawned in, i.e. if they spawned naturally in the game or were spawned in by admin-commands. So I ask you to have some patience with additional questions, usually it helps to resolve issues faster the more informations are available.;n;0.08164449;0.08164449;0.12081632653061229;0.27988699645489323;0.9689
;Response from _serial_send() was being checked regardless of whether ack, which may result is certain invalid register write error exceptions. ;Response from serialsend() was being checked regardless of whether ack, which may result is certain invalid register write error exceptions.;n;0.04567178;0.051256303;0.21428571428571427;0.5;-0.1531
;Thanks for the PR, but we are deprecating this library. I think this is fixed in the new library ;Thanks for the PR, but we are deprecating this library. I think this is fixed in the new library;n;0.04710429;0.047104027;0.14545454545454548;0.741188340053071;0.2382
;Aether Legacy Version(s) Affected aether_legacy-1.12.2-v3.2 Forge version 1.12.2-forge1.12.2-14.23.4.2732 Extra Mods jurassicraft Issue Aerwhales despawn in like 10s How to reproduce look at the whale Crash log none ;Aether Legacy Version(s) Affected aether_legacy-1.12.2-v3.2 Forge version 1.12.2-forge1.12.2-14.23.4.2732 Extra Mods jurassicraft Issue Aerwhales despawn in like 10s How to reproduce look at the whale Crash log none;n;0.09970486;0.09970489;0;0.5;-0.2023
;They despawn when out of range of the player, or when they get stuck. This is not an issue. ;They despawn when out of range of the player, or when they get stuck. This is not an issue.;n;0.06971775;0.06971771;0;0.4718377817864084;-0.25
;no they spawn directly in front of you same for alot of the mobs you made a crappy port I am tempted to make my own port ;no they spawn directly in front of you same for alot of the mobs you made a crappy port I am tempted to make my own port;y;0.6079781;0.6079781;0.2333333333333333;0.45387186707002797;-0.7003
;Unfortunately only Modding Legacy has the proper permissions to create a port, however if you believe this is still an issue, please help us out by forking the repo and creating a pull request! Also, reopen this issue if you can otherwise show that it is happening or create a new one relating to Aerwhale's AI that definitely needs to be reworked. ;Unfortunately only Modding Legacy has the proper permissions to create a port, however if you believe this is still an issue, please help us out by forking the repo and creating a pull request! Also, reopen this issue if you can otherwise show that it is happening or create a new one relating to Aerwhale's AI that definitely needs to be reworked.;n;0.07137646;0.0713764;0.03409090909090909;0.5903776008206325;0.8748
;according to mojang eula I have the ability to redistrubite adapt and modify minecraft content without permission since you have to agree to their terms of service. ;according to mojang eula I have the ability to redistrubite adapt and modify minecraft content without permission since you have to agree to their terms of service.;n;0.051726975;0.051726975;0;0.44038016009755315;0.5859
;Yes sure, however content created by other mod authors is still licensed, in which the original Aether mod. We were given permission by the original team behind the mod as it was written here  I would still highly recommend forking the repo and helping contribute. Anyways, if you aren't happy with Aether Legacy with modern versions, feel free to play the original versions or try out Aether II. We're not professionals, we're just dudes that love to mod Minecraft. ;Yes sure, however content created by other mod authors is still licensed, in which the original Aether mod. We were given permission by the original team behind the mod as it was written here  I would still highly recommend forking the repo and helping contribute. Anyways, if you aren't happy with Aether Legacy with modern versions, feel free to play the original versions or try out Aether II. We're not professionals, we're just dudes that love to mod Minecraft.;n;0.043866728;0.04386665;0.264;0.3009185544592683;0.9712
;Hi there, I don't know if it's the proper place to ask this kind of questions, let me know if you'd rather have this published somewhere else. I'm currently doing some research on media streaming servers to integrate live streaming into Funkwhale, the project I'm working on. Ant media server looks like a really good pick for my use cases, but I'm not sure how to ensure viewers cannot hijack a stream. When creating a Stream in the interface, you can  Copy the RTMP publish url, like rtmp//localhost/LiveApp/499481361945988697107161,  being the Stream ID Copy the player embbed code, like ,  being the stream ID, the same one as in the publish URL  Since the Stream ID is used for publishing purposes, but also shared with viewers, my understanding is that any viewer can easily guess the publish URL by inspecting the player source and potentially hijack a stream. I may be completely wrong or missing something, but I'd like to double check that with you. Is this normal behaviour? Is there another way to achieve what I need (having a non guessable rmtp publishing link)? I can see that there is another issue linked to authentication ( but my idea was that providing a different, non guessable URL (with a different ID, but binded to the same stream) for viewing / publishing. Let me know if you need additional info, and thank you for the incredible work! ;Hi there, I don't know if it's the proper place to ask this kind of questions, let me know if you'd rather have this published somewhere else. I'm currently doing some research on media streaming servers to integrate live streaming into Funkwhale, the project I'm working on. Ant media server looks like a really good pick for my use cases, but I'm not sure how to ensure viewers cannot hijack a stream. When creating a Stream in the interface, you can  Copy the RTMP publish url, like rtmp//localhost/LiveApp/499481361945988697107161,  being the Stream ID Copy the player embbed code, like ,  being the stream ID, the same one as in the publish URL  Since the Stream ID is used for publishing purposes, but also shared with viewers, my understanding is that any viewer can easily guess the publish URL by inspecting the player source and potentially hijack a stream. I may be completely wrong or missing something, but I'd like to double check that with you. Is this normal behaviour? Is there another way to achieve what I need (having a non guessable rmtp publishing link)? I can see that there is another issue linked to authentication ( but my idea was that providing a different, non guessable URL (with a different ID, but binded to the same stream) for viewing / publishing. Let me know if you need additional info, and thank you for the incredible work!;n;0.07452854;0.07452854;0.12174688057040996;0.9316078602186635;0.9563
;Hi @friend, Sorry for late response ( We discussed with the team and decided to continue token control in Enterprise Edition. But we can support you about dealing with this issue with Community Edition. You can rename produced files (HLS m3u8 or Mp4) using Ant Media Server Muxers  Init methods ( an example, for HLS Muxer go to Init method and edit this line to change output file names  doing that, users can not guess stream publish id by analyzing stream URL. Please let us know if you have any issue or just send an email. ;Hi @friend, Sorry for late response ( We discussed with the team and decided to continue token control in Enterprise Edition. But we can support you about dealing with this issue with Community Edition. You can rename produced files (HLS m3u8 or Mp4) using Ant Media Server Muxers  Init methods ( an example, for HLS Muxer go to Init method and edit this line to change output file names  doing that, users can not guess stream publish id by analyzing stream URL. Please let us know if you have any issue or just send an email.;n;0.03131105;0.03131105;-0.4;0.5799749485457211;0.5719
;@friend thanks for the feedback. I should correct some points because it causes some misunderstandings. First of all Community edition provides more and more features even includes some enterprise features and used by lots of developers in the community. Using unique stream id both for streaming and playing is just about implementation example and you can manage other things on your application level based on this open-source project. I also gave an example about how you can change output name of streaming files that you will give to users. Therefore changing these names, users can not reach your stream (Alice's stream ) URL and you do not have any security threat at this point. To make it clear, One-time token implementation is developed for only limiting audience not for fixing a security issue. To sum up, Ant Media Server Community Edition is totally open source software and you can develop your application based on that, during these phases, you can change the structure, way of operation etc. Sure for them, you can get support, documentation etc every time. ;@friend thanks for the feedback. I should correct some points because it causes some misunderstandings. First of all Community edition provides more and more features even includes some enterprise features and used by lots of developers in the community. Using unique stream id both for streaming and playing is just about implementation example and you can manage other things on your application level based on this open-source project. I also gave an example about how you can change output name of streaming files that you will give to users. Therefore changing these names, users can not reach your stream (Alice's stream ) URL and you do not have any security threat at this point. To make it clear, One-time token implementation is developed for only limiting audience not for fixing a security issue. To sum up, Ant Media Server Community Edition is totally open source software and you can develop your application based on that, during these phases, you can change the structure, way of operation etc. Sure for them, you can get support, documentation etc every time.;n;0.05765069;0.057650734;0.21818181818181823;0.42535499576697594;0.5795
;Ok I found the mistake. Ever heard of case sensitive? Apperently not ;Ok I found the mistake. Ever heard of case sensitive? Apperently not;y;0.12450688;0.12450686;0.3;0.4722649439662457;-0.0516
;@friend Yes I have tried that (shouldn't matter in this case anyway) and I got the same result.  Please read above where the first command works if I set the permissions to 755.  So the issue is about file permissions. ;@friend Yes I have tried that (shouldn't matter in this case anyway) and I got the same result.  Please read above where the first command works if I set the permissions to 755.  So the issue is about file permissions.;n;0.037886;0.037886;0.08333333333333333;0.5797857678312129;0.6028
;In my case it's a Debian and an Ubuntu 16.04 and both work totally fine ;In my case it's a Debian and an Ubuntu 16.04 and both work totally fine;n;0.06582439;0.06582439;0.4166666666666667;0.41818327049238513;0.2716
;@friend So you did not even try to duplicate the problem before closing the ticket?  I guess that's normal laziness from a doc team that has screenshots from five versions ago. But you didn't test so your doubt don't mean anything. Right.  Anything you can do to avoid your responsibility to have correct docs.  I see how you work. I set this up days ago and I explained how I did it.  I logged on here to help you with your documentation errors.  When you get serious about turning out responsible open source tools please contact me and I will help you debug. ;@friend So you did not even try to duplicate the problem before closing the ticket?  I guess that's normal laziness from a doc team that has screenshots from five versions ago. But you didn't test so your doubt don't mean anything. Right.  Anything you can do to avoid your responsibility to have correct docs.  I see how you work. I set this up days ago and I explained how I did it.  I logged on here to help you with your documentation errors.  When you get serious about turning out responsible open source tools please contact me and I will help you debug.;y;0.11701792;0.11701792;-0.001686507936507935;0.4468028086370178;-0.0972
;One last try could it be that the dot-files don't have the correct permissions? Espcially the  file? Is it writable by www-data? Because there were such reports in the forum, which where solved by this. ;One last try could it be that the dot-files don't have the correct permissions? Espcially the  file? Is it writable by www-data? Because there were such reports in the forum, which where solved by this.;n;0.07010003;0.07009999;0;0.6618767112920535;0.3899
;@friend please be a bit more respectful and understanding. I would like to remind you of our code of conduct  has explained why he didn't blindly took over your suggestions. I have tried the steps on the 4 systems I have access to as well and as far as I can tell the docs are correct. ;@friend please be a bit more respectful and understanding. I would like to remind you of our code of conduct  has explained why he didn't blindly took over your suggestions. I have tried the steps on the 4 systems I have access to as well and as far as I can tell the docs are correct.;n;0.040365405;0.040365428;0.15;0.7355525575373453;0.8479
;@friend Now you're starting to make sense! I agree.  But you didn't start to debug.  You just gave up. Again I have to remind you that I already have NC working.  I am helping you to fix your docs not the other way around. I will do the debug steps when I build a test server to test new NC features. ;@friend Now you're starting to make sense! I agree.  But you didn't start to debug.  You just gave up. Again I have to remind you that I already have NC working.  I am helping you to fix your docs not the other way around. I will do the debug steps when I build a test server to test new NC features.;n;0.05249663;0.05249663;0.0037878787878787845;0.3627765532756116;0.6114
